Date,Oil Price (US $)
2014,87.39
2013,95.99
2012,94.52
2011,95.73
2010,74.71
2009,56.35
2008,94.04
2007,66.52
2006,59.69
2005,50.28
2004,36.77
2003,27.56
2002,22.51
2001,21.84
2000,26.72
1999,15.56
1998,10.87
1997,17.23
1996,18.46
1995,14.62
1994,13.19
1993,14.25
1992,15.99
1991,16.54
1990,20.03
1989,15.86
1988,12.58
1987,15.4
1986,12.51
1985,24.09
1984,25.88
1983,26.19
1982,28.52
1981,31.77
1980,21.59
1979,12.64
1978,9
1977,8.57
1976,8.19
1975,7.67
1974,6.87
1973,3.89
1972,3.39
1971,3.39
1970,3.18
1969,3.09
1968,2.94
1967,2.92
1966,2.88
1965,2.86
1964,2.88
1963,2.89
1962,2.9
1961,2.89
1960,2.88
1959,2.9
1958,3.01
1957,3.09
1956,2.79
1955,2.77
1954,2.78
1953,2.68
1952,2.53
1951,2.53
1950,2.51
1949,2.54
1948,2.6
1947,1.93
1946,1.41
1945,1.22
1944,1.21
1943,1.2
1942,1.19
1941,1.14
1940,1.02
1939,1.02
1938,1.13
1937,1.18
1936,1.09
1935,0.97
1934,1
1933,0.67
1932,0.87
1931,0.65
1930,1.19
1929,1.27
1928,1.17
1927,1.3
1926,1.88
1925,1.68
1924,1.43
1923,1.34
1922,1.61
1921,1.73
1920,3.07
1919,2.01
1918,1.98
1917,1.56
1916,1.1
1915,0.64
1914,0.81
1913,0.95
1912,0.74
1911,0.61
1910,0.61
1909,0.7
1908,0.72
1907,0.72
1906,0.73
1905,0.62
1904,0.86
1903,0.94
1902,0.8
1901,0.96
1900,1.19
1899,1.13
1898,0.8
1897,0.68
1896,0.96
1895,1.09
1894,0.72
1893,0.6
1892,0.51
1891,0.56
1890,0.77
1889,0.77
1888,0.65
1887,0.67
1886,0.71
1885,0.88
1884,0.85
1883,1.1
1882,0.78
1881,0.92
1880,0.94
1879,0.86
1878,1.17
1877,2.38
1876,2.52
1875,1.35
1874,1.17
1873,1.83
1872,3.64
1871,4.34
1870,3.86
1869,5.64
1868,3.62
1867,2.41
1866,3.74
1865,6.59
1864,8.06
1863,3.15
1862,1.05
1861,0.49
1860,9.59
1859,16
